Red,A,1,50,0.5,40,,,,0.25,0.25,Switch 6,Head,2,
Red,A,2,50,1,40,,,,0.5,0.75,,,2,
Red,A,3,50,1.5,40,,,,0.75,1.5,,Head,2,
Red,B,4,50,2,40,,,,1,2.5,,Head,2,
Red,B,5,50,1.5,40,,,,0.75,3.25,,,2,
Red,B,6,50,1,40,,,,0.5,3.75,,Head,2,
Red,C,7,75,0.5,40,SHADYSIDE,,,0.38,4.13,,Head,2,
Red,C,8,75,0,40,,,,0,4.13,,,2,
Red,C,9,75,0,40,,SWITCH,,0,4.13,Switch 12,Head,2,
Red,D,10,75,0,40,,,,0,4.13,Switch 12,Head,2,
Red,D,11,75,-0.5,40,,,,-0.38,3.75,,,2,
Red,D,12,75,-0.5,40,,,,-0.38,3.38,,Head,2,
Red,E,13,68.4,-1,40,,,,-0.68,2.69,,Head,2,
Red,E,14,60,-1,40,,,,-0.6,2.09,,,2,
Red,E,15,60,-1,40,,,,-0.6,1.49,Switch 6,Head,2,
Red,F,16,50,-0.5,40,HERRON AVE,SWITCH,,-0.25,1.24,Switch 6,Head,2,
Red,F,17,200,-0.5,55,,,,-1,0.24,,,2,
Red,F,18,400,-0.06025,70,,,,-0.24,0,,,2,
Red,F,19,400,0,70,,,,0,0,,,2,
Red,F,20,200,0,70,,,,0,0,,Head,2,
Red,G,21,100,0,55,SWISSVILLE,,,0,0,,Head,2,
Red,G,22,100,0,55,,,,0,0,,,2,
Red,G,23,100,0,55,,,,0,0,,Head,2,
Red,H,24,50,0,70,,,UNDERGROUND,0,0,,Head,2,
Red,H,25,50,0,70,PENN STATION,,UNDERGROUND,0,0,,,2,
Red,H,26,50,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,27,50,0,70,,SWITCH ,UNDERGROUND,0,0,Switch 7,,2,
Red,H,28,50,0,70,,,UNDERGROUND,0,0,Switch 7,,2,
Red,H,29,60,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,30,60,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,31,50,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,32,50,0,70,,SWITCH,UNDERGROUND,0,0,Switch 8,,2,
Red,H,33,50,0,70,,,UNDERGROUND,0,0,Switch 8,,2,
Red,H,34,50,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,35,50,0,70,STEEL PLAZA,,UNDERGROUND,0,0,,,2,
Red,H,36,50,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,37,50,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,38,50,0,70,,SWITCH,UNDERGROUND,0,0,Switch 9,,2,
Red,H,39,50,0,70,,,UNDERGROUND,0,0,Switch 9,,2,
Red,H,40,60,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,41,60,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,42,50,0,70,,,UNDERGROUND,0,0,,,2,
Red,H,43,50,0,70,,SWITCH,UNDERGROUND,0,0,Switch 10,,2,
Red,H,44,50,0,70,,,UNDERGROUND,0,0,Switch 10,,2,
Red,H,45,50,0,70,FIRST AVE,,UNDERGROUND,0,0,,Head,2,
Red,I,46,75,0,70,,,UNDERGROUND,0,0,,Head,2,
Red,I,47,75,0,70,,,UNDERGROUND,0,0,,,2,RAILWAY CROSSING
Red,I,48,75,0,70,STATION SQUARE,,UNDERGROUND,0,0,,Head,2,
Red,J,49,50,0,60,,,,0,0,,Head,2,
Red,J,50,50,0,60,,,,0,0,,,2,
Red,J,51,50,0,55,,,,0,0,,,2,
Red,J,52,43.2,0,55,,SWITCH,,0,0,Switch 11,,2,
Red,J,53,50,0,55,,,,0,0,Switch 11,,2,
Red,J,54,50,0,55,,,,0,0,,Head,2,
Red,K,55,75,0.5,55,,,,0.38,0.38,,Head,2,
Red,K,56,75,0.5,55,,,,0.38,0.75,,,2,
Red,K,57,75,0.5,55,,,,0.38,1.13,,Head,2,
Red,L,58,75,1,55,,,,0.75,1.88,,Head,2,
Red,L,59,75,0.5,55,,,,0.38,2.25,,,2,
Red,L,60,75,0,55,SOUTH HILLS JUNCTION,,,0,2.25,,Head,2,
Red,M,61,75,-0.5,55,,,,-0.38,1.88,,Head,2,
Red,M,62,75,-1,55,,,,-0.75,1.13,,,2,
Red,M,63,75,-1,55,,,,-0.75,0.38,,Head,2,
Red,N,64,75,-0.5,55,,,,-0.38,0,,Head,2,
Red,N,65,75,0,55,,,,0,0,,,2,
Red,N,66,75,0,55,,,,0,0,Switch 11,Head,2,
Red,O,67,50,0,55,,,UNDERGROUND,0,0,Switch 10,Head/Head,2,
Red,P,68,50,0,55,,,UNDERGROUND,0,0,,Head,2,
Red,P,69,50,0,55,,,UNDERGROUND,0,0,,,2,
Red,P,70,50,0,55,,,UNDERGROUND,0,0,,Head,2,
Red,Q,71,50,0,55,,,UNDERGROUND,0,0,Switch 9,Head/Head,2,
Red,R,72,50,0,55,,,UNDERGROUND,0,0,Switch 8,Head/Head,2,
Red,S,73,50,0,55,,,UNDERGROUND,0,0,,Head,2,
Red,S,74,50,0,55,,,UNDERGROUND,0,0,,,2,
Red,S,75,50,0,55,,,UNDERGROUND,0,0,,Head,2,
Red,T,76,50,0,55,,,UNDERGROUND,0,0,Switch 7,Head/Head,2,
Red,U,77,50,0,35,TO YARD/FROM YARD,,,0,0,Switch 12,Head/Head,2,
